Time,Pressure,RFTS,Altitude,DewPt,RH,FS96CNC,  PCTcon,CN3025,CN7610,CN3025_corrected,latitude,Longitude
204156,1016.3,-6.6,39,-8.1,93.2,0,1454.3,,,0,71.2853,156.76752
204157,1015.6,-6.6,44,-8.1,93.2,0.05,1279,,,0,71.2853,156.76562
204158,1015,-6.6,50,-8.1,93.2,0,1329.1,,,0,71.28548,156.76375
204159,1014.5,-6.6,54,-8.1,93.1,0,1326.2,,,0,71.28548,156.76186
204200,1013.9,-6.6,58,-8.2,92.7,0,1206.6,,,0,71.28548,156.76031
204201,1013.4,-6.6,62,-8.2,92,0,1288.7,,,0,71.28548,156.75859
204202,1012.8,-6.7,68,-8.3,91.8,0,1313.2,,,0,71.28548,156.7567
204203,1012,-6.6,75,-8.3,91.4,0,1306.3,,,0,71.28548,156.75464
204204,1011.4,-6.4,79,-8.4,90.1,0,1280.2,,,0,71.28548,156.75293
204205,1010.7,-6.4,85,-8.4,89.8,0,1379.5,,,0,71.28548,156.75121
204206,1010,-6.2,91,-8.5,88.3,0,1422.1,,,0,71.28564,156.74915
204207,1009.5,-5.7,95,-8.5,86.7,0,1334.5,,,0,71.28564,156.74744
204208,1008.8,-5.2,101,-8.5,83.3,0.05,1378.1,,,0,71.28564,156.74554
204209,1008,-5,107,-8.5,81.6,0,1485.6,,,0,71.28564,156.74348
204210,1007.4,-4.9,113,-8.5,80.2,0,1392.5,,,0,71.28564,156.74159
204211,1006.7,-4.8,119,-8.3,79.9,0,1389.2,,,0,71.28564,156.73936
204212,1006.1,-4.4,124,-8.1,79.3,0,1419.8,,,0,71.28564,156.73747
204213,1005.3,-4.2,130,-7.8,79.7,0,1531.5,,,0,71.28564,156.7356
204214,1004.5,-4,137,-7.1,83.2,0,1530.1,,,0,71.28564,156.73335
204215,1004,-3.9,141,-6.4,86.2,0,1568.3,,,0,71.28564,156.73148
204216,1003.5,-3.8,145,-6.1,87.4,0,1514.8,,,0,71.28564,156.72942
204217,1003,-3.7,149,-5.8,88.2,0,1475.6,,,0,71.28564,156.72717
204218,1002.3,-3.7,155,-5.6,89.6,0,1577,,,0,71.28564,156.72511
204219,1001.9,-3.7,158,-5.4,90.8,0,1527.1,,,0,71.28564,156.72272
204220,1002,-3.6,157,-5.2,91.7,0,1467.4,,,0,71.28564,156.72031
204221,1001.8,-3.5,160,-5,92.4,0,1587.4,,,0,71.28564,156.71825
204222,1001.7,-3.5,160,-4.8,93.7,0.04,1549.4,,,0,71.28564,156.71602
204223,1001.3,-3.5,163,-4.6,94.7,0,1476.2,,,0,71.28564,156.71362
204224,1001.1,-3.5,165,-4.4,95.9,0.04,1594.7,,,0,71.28582,156.71088
204225,1000.8,-3.6,168,-4.3,96.9,0,1537.2,,,0,71.28582,156.70932
204226,1000.5,-3.6,171,-4.1,98.3,0,1481.5,,,0,71.28582,156.70641
204227,1000.2,-3.6,173,-4.1,98.7,0.08,1502.3,,,0,71.28582,156.70383
204228,1000,-3.6,175,-4.1,98.7,0,1590.2,,,0,71.28582,156.70195
204229,999.7,-3.5,177,-4.1,98.5,0,1615.9,,,0,71.28599,156.69885
204230,999.4,-3.5,180,-4.1,98.4,0.24,1704.4,,,0,71.28599,156.69696
204231,998.9,-3.5,183,-4.2,97.5,0,1658,,,0,71.28599,156.69421
204232,998.6,-3.5,187,-4.3,96.4,0,1603,,,0,71.28616,156.69234
204233,998,-3.4,191,-4.4,95.5,0,1883.7,,,0,71.28616,156.68959
204234,997.7,-3.4,194,-4.5,94.6,0.24,1779.8,,,0,71.28616,156.68684
204235,997,-3.4,200,-4.5,94,0,1697.5,,,0,71.28633,156.68391
204236,996.3,-3.3,206,-4.6,93.4,0.08,1663.5,,,0,71.28633,156.68152
204237,995.7,-3.4,211,-4.6,93.3,0,1519.4,,,0,71.28651,156.6786
204238,995.1,-3.3,216,-4.5,93.5,0,862.4,,,0,71.28667,156.67567
204239,994.5,-3.1,221,-4.4,93.4,0.04,276.9,,,0,71.28667,156.67345
204240,993.9,-3,226,-4.3,93.5,0.04,117.8,,,0,71.28685,156.67053
204241,993.2,-3,232,-4.1,94.3,0.23,70.2,,,0,71.28685,156.6683
204242,992.6,-3,237,-3.8,96,0,74.8,,,0,71.28702,156.66537
204243,991.8,-3,244,-3.7,96.7,0,54,,,0,71.28702,156.6635
204244,991.1,-3,250,-3.5,97.7,0,81.1,,,0,71.28719,156.66006
204245,990.3,-3,256,-3.4,98.8,0,81.2,,,0,71.28736,156.65749
204246,989.5,-3,263,-3.3,100,0,52.7,,,0,71.28754,156.65457
204247,988.7,-3.1,270,-3.2,100,0.04,63.3,,,0,71.28754,156.65216
204248,988,-3,276,-3.1,100,0,72.4,,,0,71.2877,156.64977
204249,987.1,-2.9,284,-3,100,0,39.3,,,0,71.28788,156.64684
204250,986.4,-2.8,290,-3,100,0,60.4,,,0,71.28805,156.64444
204251,985.7,-2.9,295,-3,100,0,71.1,,,0,71.28822,156.64203
204252,985,-2.9,301,-3,100,0,41,,,0,71.28839,156.63963
204253,984.3,-2.9,307,-3.1,100,0.04,36.5,,,0,71.28857,156.63672
204254,983.3,-2.9,316,-3.1,100,0,71.8,,,0,71.28891,156.63379
204255,982.7,-3,321,-3.2,100,0,35.3,,,0,71.28908,156.63087
204256,982,-3.1,327,-3.2,100,0,59.9,,,0,71.28942,156.6283
204257,981.2,-3.1,334,-3.3,100,0.04,63,,,0,71.2896,156.6259
204258,980.4,-3.2,341,-3.4,100,0.23,63.5,,,0,71.28994,156.62349
204259,979.8,-3.2,346,-3.4,99.9,0,75.9,,,0,71.29011,156.62074
204300,979,-3.3,352,-3.5,99.6,0.23,48.1,,,0,71.29045,156.61835
204301,978.4,-3.3,358,-3.6,99.6,0.04,54.4,,,0,71.29063,156.61577
204302,977.7,-3.4,364,-3.7,99.6,0,56,,,0,71.29097,156.61302
204303,977,-3.4,370,-3.7,99.7,0,59.2,,,0,71.29114,156.61011
204304,976.3,-3.5,376,-3.7,99.6,0.23,70.2,,,0,71.29148,156.60788
204305,975.6,-3.5,382,-3.8,99.9,0.23,71.9,,,0,71.29166,156.60547
204306,974.8,-3.4,388,-3.8,99.5,0.46,61,,,0,71.29182,156.60307
204307,974.4,-3.4,392,-3.8,99.2,0.23,53.2,,,0,71.29217,156.60014
204308,973.7,-3.4,398,-3.8,98.8,0.23,51.5,,,0,71.29234,156.59775
204309,973.2,-3.4,402,-3.8,98.9,0,44,,,0,71.29251,156.59483
204310,972.7,-3.3,406,-3.8,98.7,0,51.8,,,0,71.29285,156.5919
204311,972.2,-3.3,411,-3.8,98.8,0,47.1,,,0,71.29303,156.58934
204312,971.8,-3.3,415,-3.8,98.6,0.04,42.5,,,0,71.2932,156.58693
204313,971.1,-3.3,420,-3.8,99.1,0,48.8,,,0,71.29354,156.58401
204314,970.5,-3.4,425,-3.8,98.5,0.23,59.9,,,0,71.29372,156.5816
204315,970,-3.4,429,-3.8,98.7,0,55.2,,,0,71.29388,156.57973
204316,969.5,-3.4,435,-3.8,99.2,0.07,55.2,,,0,71.29423,156.57629
204317,968.8,-3.4,440,-3.8,99.5,0.23,86.8,,,0,71.2944,156.57388
204318,968.2,-3.5,446,-3.8,100,0.07,69.5,,,0,71.29457,156.57149
204319,967.5,-3.5,451,-3.8,100,0,67.9,,,0,71.29491,156.56822
204320,966.8,-3.4,458,-3.7,100,0,109,,,0,71.29509,156.56616
204321,966.2,-3.5,462,-3.7,100,0.04,64.8,,,0,71.29543,156.56342
204322,965.3,-3.5,470,-3.8,100,0.23,49,,,0,71.2956,156.561
204323,964.4,-3.6,478,-3.7,100,0,31.6,,,0,71.29594,156.55809
204324,963.6,-3.6,485,-3.8,100,0,64.8,,,0,71.29612,156.55569
204325,962.7,-3.7,493,-3.8,100,0,77.6,,,0,71.29629,156.55295
204326,961.7,-3.7,501,-3.8,100,0.08,57.1,,,0,71.29663,156.55037
204327,960.9,-3.8,508,-3.9,100,0,39.6,,,0,71.29681,156.54796
204328,960,-3.9,517,-3.9,100,0.24,50.7,,,0,71.29715,156.54521
204329,959.1,-4,524,-3.9,100,4.74,85.7,,,0,71.29732,156.54247
204330,958.3,-4,531,-4.8,95.8,8.09,57.2,,,0,71.29766,156.54059
204331,957.3,-4.1,539,-5.7,90.2,17.18,22.2,,,0,71.29784,156.53784
204332,956.5,-4.1,546,-5.7,90.8,10.77,23.8,,,0,71.29818,156.53491
204333,955.8,-4.1,553,-5.7,90.7,6.97,22.3,,,0,71.29835,156.53268
204334,955,-4.2,560,-5.8,90.6,13.98,25.5,,,0,71.29869,156.53029
204335,954.2,-4.2,567,-5.8,90.8,16.44,19.1,,,0,71.29887,156.52805
204336,953.6,-4.3,572,-4.2,100,19.14,11.2,,,0,71.29903,156.52582
204337,952.8,-4.3,579,-4.2,100,25.95,19.2,,,0,71.29921,156.52359
204338,952.1,-4.3,585,-4.2,100,24.03,16,,,0,71.29955,156.52068
204339,951.5,-4.4,591,-4.2,100,25.72,16.1,,,0,71.2999,156.51758
204340,950.9,-4.4,596,-4.2,100,28.67,11.3,,,0,71.30006,156.51518
204341,950.4,-4.5,600,-4.3,100,27.22,11.3,,,0,71.30024,156.51346
204342,949.7,-4.5,606,-4.3,100,24.06,6.4,,,0,71.30058,156.51038
204343,949.1,-4.5,611,-4.3,100,23.09,9.7,,,0,71.30075,156.50813
204344,948.7,-4.5,615,-4.3,100,12.41,12.9,,,0,71.30093,156.50539
204345,948.1,-4.5,620,-4.4,100,11.67,6.5,,,0,71.30127,156.50299
204346,947.6,-4.6,624,-4.4,100,19.45,8.1,,,0,71.30144,156.50076
204347,947.1,-4.7,629,-4.4,100,24.02,11.4,,,0,71.30161,156.49802
204348,946.5,-4.7,634,-4.4,100,27.11,17.8,,,0,71.30196,156.49577
204349,946.1,-4.7,638,-4.4,100,17.21,40.6,,,0,71.30212,156.49286
204350,945.5,-4.7,643,-4.4,100,1.94,6.5,,,0,71.3023,156.49028
204351,945,-4.7,647,-4.4,100,1.94,29.2,,,0,71.30247,156.48737
204352,944.5,-4.7,652,-4.4,100,12.11,27.8,,,0,71.30264,156.48514
204353,944,-4.8,656,-4.4,100,21.04,19.6,,,0,71.30281,156.48291
204354,943.5,-4.8,660,-4.4,100,16.01,21.2,,,0,71.30299,156.47998
204355,943.1,-4.8,664,-4.4,100,15.05,17.9,,,0,71.30315,156.47707
204356,942.5,-4.8,670,-4.5,100,18.43,6.5,,,0,71.30333,156.47536
204357,941.9,-4.9,675,-4.5,100,23.8,3.3,,,0,71.3035,156.47226
204358,941.3,-4.9,680,-4.5,100,22.84,4.9,,,0,71.30367,156.46935
204359,940.8,-4.9,684,-4.5,100,19.95,1.6,,,0,71.30367,156.46745
204400,940.3,-4.9,689,-4.6,100,19.94,9.8,,,0,71.30384,156.46419
204401,939.8,-5,694,-4.6,100,20.95,31.1,,,0,71.30402,156.46179
204402,939.1,-5,699,-4.6,100,15.38,8.2,,,0,71.30418,156.45956
204403,938.7,-5,703,-4.7,100,23.66,4.9,,,0,71.30436,156.45663
204404,938.1,-5,708,-4.7,100,17.8,16.4,,,0,71.30436,156.45476
204405,937.6,-5,713,-4.7,100,22.45,8.2,,,0,71.30453,156.45183
204406,936.9,-5.1,719,-4.8,100,23.48,1.6,,,0,71.3047,156.44908
204407,936.3,-5.1,724,-4.8,100,24.75,11.5,,,0,71.30487,156.44669
204408,935.6,-5.2,730,-4.9,100,24.97,8.2,,,0,71.30487,156.44394
204409,934.9,-5.2,737,-4.9,100,24.46,18.1,,,0,71.30505,156.44171
204410,934.1,-5.3,744,-4.9,100,22.54,44.4,,,0,71.30521,156.43878
204411,933.4,-5.3,750,-4.9,100,24.74,41,,,0,71.30539,156.43655
204412,932.6,-5.4,757,-4.9,100,25.67,29.6,,,0,71.30539,156.43398
204413,931.9,-5.4,763,-4.9,100,26.72,46,,,0,71.30556,156.4321
204414,931.3,-5.5,769,-5,100,20.4,65.8,,,0,71.30573,156.42831
204415,930.5,-5.5,776,-5,100,19.89,24.7,,,0,71.3059,156.42642
204416,929.9,-5.6,781,-5,100,21.89,34.6,,,0,71.3059,156.42368
204417,929.2,-5.6,788,-5.8,100,20.16,74.1,,,0,71.30608,156.42093
204418,928.6,-5.5,792,-6.9,92.1,16.5,28,,,0,71.30624,156.41853
204419,928.1,-5.6,797,-7,91.6,10.33,14.8,,,0,71.30624,156.41612
204420,927.5,-5.7,802,-7.1,91.7,13.99,13.2,,,0,71.30642,156.41389
204421,926.9,-5.7,808,-5.4,100,16.91,11.6,,,0,71.30659,156.4115
204422,926.5,-5.7,812,-5.2,100,10.8,11.6,,,0,71.30676,156.40807
204423,926,-5.7,816,-5.3,100,22.07,11.6,,,0,71.30676,156.40617
204424,925.5,-5.7,820,-5.3,100,27.71,38.1,,,0,71.30693,156.40326
204425,925,-5.7,825,-6.1,100,26.76,61.2,,,0,71.30711,156.40051
204426,924.3,-5.7,831,-7.3,91.5,20.58,41.2,,,0,71.30727,156.39777
204427,924,-5.7,834,-7.3,91.2,3.69,36.2,,,0,71.30727,156.39571
204428,923.6,-5.7,838,-7.3,90.7,8.14,32.9,,,0,71.30745,156.39296
204429,922.7,-5.7,845,-7.4,90.2,0.25,34.5,,,0,71.30762,156.39055
204430,922.3,-5.7,849,-7.5,90.2,0.16,23,,,0,71.30779,156.38763
204431,921.7,-5.8,854,-5.9,100,0.25,32.9,,,0,71.30796,156.38541
204432,921.2,-5.8,859,-5.7,100,0,34.9,,,0,71.30796,156.38248
204433,920.8,-5.8,862,-5.8,100,1.23,39.7,,,0,71.30814,156.38025
204434,920.1,-5.9,869,-5.9,100,0.49,53.3,,,0,71.3083,156.37785
204435,919.7,-5.9,873,-5.9,100,4.94,36.4,,,0,71.30848,156.37511
204436,919,-6,879,-7.7,89.8,4.67,20,,,0,71.30865,156.3727
204437,918.5,-6.1,883,-6.7,97.8,8.4,18.3,,,0,71.30882,156.3703
204438,917.9,-6.1,888,-6,100,5.71,36.6,,,0,71.30899,156.36755
204439,917.5,-6.1,892,-6,100,0.5,31.7,,,0,71.30899,156.36481
204440,917,-6.2,897,-6,100,3.96,36.8,,,0,71.30917,156.36256
