Time,Altitude,Pressure,RFTS,DewPt,LICDew,RH,ReHuI,CN3025,CN7610,CN3025_corrected,PCTcon,PCcn01,PCcn02,PCcn03,PCcn04,PCcn05,PCcn06,PCcn07,PCcn08,PCcn09,PCcn10,PCcn11,PCcn12,PCcn13,PCcn14,PCcn15
161036,148,995.5,0.1,-8,-43,53.4,58.9,0,0,,7843.8,2205.2,2559.7,1684.4,823.5,449.3,69.6,44.5,3.6,3.2,0.4,0.2,0.1,0.1,0.1,0.1
161236,138,996.7,-0.5,-7.1,-34.9,62.1,62.6,0,0,,174.4,26.8,27.2,28.7,25.9,32.7,12.1,15.2,2.7,2.5,0.2,0.2,0.1,0.1,0.1,0
161436,140,996.5,-0.6,-7,-3.3,63.1,63.6,0,0,,1401.2,418.5,453.4,263.1,133.7,87.6,19.3,19.1,3.2,2.5,0.3,0.1,0.1,0.1,0.1,0.1
161636,495,955.4,0.7,-6.3,-5.7,61.1,70.7,0,0,,161,22.4,35.4,33.8,27,26.4,7.2,7.3,0.7,0.4,0.1,0.1,0,0.1,0.1,0
161836,1136,879.8,0.7,-4.7,-4.4,68.3,74.9,0,0,,125.5,19,30.8,26.5,21.3,18.9,3.9,3.9,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1
162036,1685,818.9,-3.5,-6.1,-5.7,84.7,88.1,0,0,,66.6,10.7,17.2,14,11,8.7,2.2,2.3,0.2,0.1,0.1,0.1,0.1,0,0,0.1
162236,2272,761.4,-7.9,-8.7,-8.5,96.7,104.9,0,0,,74.6,13.1,18.8,15.7,11.7,9.9,2.5,2.1,0.1,0.1,0.1,0,0.1,0.1,0.2,0
162436,2857,707.4,-11.1,-14.3,-14.1,80.3,89.9,0,0,,103.8,19.1,28.1,22,14.2,13.3,3.3,2.8,0.3,0.1,0.1,0,0,0,0.1,0.2
162636,3433,657.2,-15.1,-18.2,-18.1,80.3,93.5,61,117,,130.3,22.7,37.6,28.6,17.4,15.8,3.7,3.2,0.3,0.2,0.2,0.2,0,0.1,0.2,0.1
162836,4022,609.1,-18.6,-23.9,-23.3,66.1,79.6,332,328,,105.6,17.4,29.3,22.1,14.8,13.4,3.2,3.6,0.6,0.1,0.2,0.1,0.1,0.2,0.2,0.2
