Time,Altitude,Pressure,Temperature,DewPt,LICDew,RH,ReHuI,CN3025,CN7610,CN3025_corrected,PCTcon,PCcn01,PCcn02,PCcn03,PCcn04,PCcn05,PCcn06,PCcn07,PCcn08,PCcn09,PCcn10,PCcn11,PCcn12,PCcn13,PCcn14,PCcn15
191915,185,985.4,-0.9,-8.6,-3.8,57,59.7,395,380,,153.5,26.3,32.9,31.9,24.7,22,5.7,7.2,1.2,1,0.2,0.1,0,0.1,0.1,0
192115,1197,872.9,-6,-15.3,-17.4,50.4,53.5,355,377,,95.4,14.6,23.9,21.2,14.5,12.2,3.4,3.8,0.5,0.3,0.2,0.2,0.1,0.1,0.2,0.1
192315,2346,757.2,-10,-25.3,-37.4,28.5,31.5,321,356,,158,23.6,32.5,31.5,24,25.1,7.5,8.7,1.9,1.1,0.6,0.4,0.2,0.4,0.3,0.1
192515,3298,671.2,-14.7,-24.4,-25.4,45.7,53.1,402,404,,93.3,15.2,21.9,18.9,13.7,13.9,3.4,4,0.7,0.8,0.2,0.2,0.2,0.1,0.2,0
192715,4070,607.3,-17.3,-28.4,-29.3,39.5,47,242,303,,101.2,16.9,27.9,22.1,16.8,11.7,3,1.9,0.4,0.2,0.1,0,0.1,0.1,0.1,0
192915,4746,555.6,-20.8,-33,-33.8,33.9,41.8,277,365,,97.4,18.9,26.6,20.4,14.6,10.3,3,2.3,0.4,0.4,0.1,0.1,0.1,0.1,0,0
193115,5067,532.3,-23.1,-33.5,-36,39.5,49.7,345,435,,83.1,14.9,23.5,19,11.8,9.5,2.2,1.7,0.2,0.2,0,0,0,0,0.1,0
193315,5063,532.5,-23.1,-32.1,-35.9,45.3,57.1,331,425,,103.5,17.5,28.7,21.9,15.3,13.6,3.4,2.1,0.4,0.2,0.1,0.1,0,0.1,0,0
193515,5065,532.4,-23.2,-31.5,-35.7,48.3,60.9,346,447,,94.7,17,26.8,21.1,13.6,11.1,2.3,1.8,0.4,0.3,0,0.1,0,0,0,0
193715,5067,532.2,-23.3,-31.9,-35.7,46.7,58.9,304,395,,119.8,22.9,34.7,27.7,15.8,12.1,3.4,1.8,0.4,0.4,0.2,0.1,0.1,0.2,0,0
193915,5071,531.9,-23.3,-32.4,-36.4,45.1,56.9,309,410,,128.8,23.1,35.1,28,18.7,14.7,4.4,3.4,0.6,0.3,0.1,0.2,0.1,0.1,0,0
194115,5065,532.4,-23.3,-32.5,-36.3,44.5,56.1,307,409,,126.6,22.6,34.8,27.3,17.9,15.4,3.9,2.9,0.7,0.4,0.2,0.2,0,0.1,0,0.2
194315,5036,534.4,-23.2,-32.1,-35.7,45.7,57.5,299,394,,139.3,24.1,39.6,29,20.7,16.9,5,2.4,0.8,0.4,0.1,0.1,0.1,0.2,0,0
194515,5067,532.2,-23.4,-32.2,-36.1,45.8,57.8,290,393,,139.4,23,38.8,28.5,20.2,18.2,5,3.7,0.8,0.5,0.3,0.2,0.2,0,0.1,0
194715,5072,531.9,-23.3,-32.5,-36.4,44.1,55.6,290,393,,132.7,22.6,35.8,29.3,19,15.8,5,3.2,0.6,0.5,0.4,0.2,0.1,0.1,0.1,0.1
194915,5075,531.7,-23.2,-33.3,-37.1,40.4,50.9,290,391,,133.5,22.5,35.4,30.6,18.5,16.1,4.6,3.4,0.8,0.5,0.3,0.3,0.1,0.2,0.1,0
195115,5073,531.8,-23.1,-33.1,-36.9,40.8,51.3,274,370,,133,21.2,36.7,29.8,18.5,16.5,4.3,3.4,0.9,0.4,0.3,0.3,0.2,0.2,0.1,0
195315,5072,531.9,-22.9,-33.8,-37.5,37.5,47,261,349,,123.3,21.2,33,26.6,18.3,14.7,3.7,3.7,0.9,0.6,0.1,0.1,0,0.1,0.1,0
