Time,Altitude,Pressure,Temperature,DewPt,LICDew,RH,ReHuI,CN3025,CN7610,CN3025_corrected,PCTcon,PCcn01,PCcn02,PCcn03,PCcn04,PCcn05,PCcn06,PCcn07,PCcn08,PCcn09,PCcn10,PCcn11,PCcn12,PCcn13,PCcn14,PCcn15,
191450,141,992.6,4,-5.5,-16.6,48.1,57.2,1949,566,,2084.411146,277.3,40.7,55.7,52.8,40.9,46.7,14.9,18.9,4.1,2,0.2,0.2,0.1,0.1,0.1,0
191650,155,992.5,6.3,-4.9,-11.2,41.2,-88.8,1586,1399,,1696.243684,347.8,48.1,58.6,61.4,52.8,65.4,21.3,29.8,6.8,2.9,0.3,0.1,0,0.1,0.1,0
191850,153,992.8,6.2,-4.5,-28.2,44.4,-88.8,1590,1385,,1700.362735,347.2,47.3,54.6,61.3,53.9,66.2,22,31.8,6.4,3,0.3,0.2,0.1,0.1,0,0
192050,145,993.8,5.9,-3.6,-16.8,50.9,-88.8,9763,2022,,10437.366,352.6,47.6,58.6,62.2,53.2,65.8,22.6,31.3,7.1,3.1,0.4,0.2,0.1,0.1,0.2,0
192250,144,993.9,6.1,-4.3,-4.3,47.8,-88.8,1197,759,,1279.640466,347.4,46.4,55.4,61,52.4,66.4,22.8,31.9,6.8,3.5,0.3,0.1,0,0.2,0.1,0
192450,431,960.7,5.9,-4.1,-2.4,49,-88.8,381,392,,410.5501596,246.8,33.8,41.3,44.5,39.1,47.2,14.5,20.2,3.7,1.8,0.2,0.1,0.1,0.1,0.1,0
192650,1469,847.3,1.4,-3.3,-3.3,73,83.2,296,310,,320.540504,170,24.3,33.4,35.5,28.5,29.9,7.7,9.2,0.7,0.5,0.1,0.1,0,0.1,0,0
192850,2233,770.7,-4.2,-5.6,-5.8,91.3,95.4,453,429,,493.6966361,178.9,26.7,33.6,34.1,28,29.8,9.8,10.7,1.3,1.1,0.6,0.8,0.1,0.6,0.5,1
193050,2916,707.3,-8.6,-9.1,-9.4,97,105.7,1133,759,,1262.49565,,,,,,,,,,,,,,,,
193250,3545,652.6,-12.5,-13.7,-14,92.7,105,1062,677,,1230.174153,,,,,,,,,,,,,,,,
193450,4130,604.9,-16.4,-16.4,-17.7,97.6,114.2,237,245,,289.1759459,,,,,,,,,,,,,,,,
193650,4670,563.4,-19.8,-18.8,-21.4,100,120.2,562,583,,728.1174923,,,,,,,,,,,,,,,,
193850,5000,539.1,-22.1,-21.2,-24,100,123,674,644,,910.2079805,,,,,,,,,,,,,,,,
194050,5008,538.5,-22.3,-22.3,-25.3,98.7,122.6,718,656,,970.6780303,,,,,,,,,,,,,,,,
194250,5283,519.2,-24.3,-24.4,-28.2,99.7,126.5,415,481,,581.7653098,,,,,,,,,,,,,,,,
194450,5805,483.7,-28.4,-28.2,-32,100,131.7,583,625,,879.8041244,,,,,,,,,,,,,,,,
194650,6210,457.5,-31.9,-31.1,-35.9,100,135.4,532,549,,852.2865008,,,,,,,,,,,,,,,,
194850,6588,434.2,-35.1,-34.6,-39.5,98.8,138.1,470,511,,796.7740125,,,,,,,,,,,,,,,,
195050,6798,421.6,-37,-38.3,-42.2,90.8,130.5,671,684,,1174.268508,,,,,,,,,,,,,,,,
195250,6778,422.8,-37.1,-37.8,-43.1,96.7,139.1,589,641,,1027.614664,,,,,,,,,,,,,,,,
