Time,Altitude,Pressure,RFTS,DewPt,LICDew,RH,ReHuI,CN3025,CN7610,CN3025_corrected,PCTcon,PCcn01,PCcn02,PCcn03,PCcn04,PCcn05,PCcn06,PCcn07,PCcn08,PCcn09,PCcn10,PCcn11,PCcn12,PCcn13,PCcn14,PCcn15
184000,16,1004.7,-7.3,-8.9,-3.5,78.1,84.5,0,0,,7673.4,2301,1858.5,1609.7,991,681.6,126.7,92.1,6.3,4.4,0.9,0.4,0.1,0.2,0.2,0.2
184200,10,1004.9,-8.4,-9.9,,89.4,97.1,0,0,,1595.7,1016.2,231,146.9,86,67.5,15.5,18.8,3.6,4.8,1.7,0.9,0.5,0.7,1,0.6
184400,46,1000.6,-8.9,-10.1,-6.5,92.6,101.3,0,0,,4103.7,1991.6,832.9,604.7,346.8,235,45.1,39.3,4,2.9,0.6,0.2,0.1,0.2,0.2,0.2
184600,661,930,-2.3,-5.3,-6.9,81.6,83.9,0,0,,143.6,17.1,28.3,29.5,24,27.2,7.8,8.6,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1
184800,1345,855.8,-3.2,-7.6,-4.1,73.1,75.7,0,0,,90.6,12.1,23.2,21.5,13.7,12.1,3.3,2.6,0.1,0.3,0.2,0.2,0,0.2,0.6,0.4
185000,2006,789,-7.7,-9.8,-5.7,86.5,93.5,0,0,,132.3,17.9,31.8,29.7,20.4,19,5.2,5.2,0.3,0.3,0.3,0.4,0.2,0.2,0.6,0.8
185200,2646,728.3,-11.8,-13.3,-7.6,91.5,103.1,340,395,,176.2,21.8,37.3,36.4,28.5,29.9,10.3,8.5,0.5,0.5,0.3,0.3,0.2,0.3,0.7,0.6
185400,3256,673.9,-16,-17.5,-9.5,91,106.8,407,441,,229.7,28.6,48,46.9,39.6,40.4,12.8,10.8,1,0.5,0.1,0.2,0.1,0.2,0.3,0.2
185600,3835,625.5,-20,-20.9,-18.2,94.5,115.3,411,416,,258.6,29.1,50.7,55.4,44,47.7,15.3,12.6,1.5,0.7,0.3,0.3,0,0.3,0.4,0.3
185800,4395,581.4,-23.8,-23.5,-24.2,100,125.8,272,351,,213,24.6,44.1,46.5,38.8,37.4,11.3,8.8,1.2,0.2,0.1,0.1,0.1,0,0,0
190000,4967,538.9,-28,-27.2,-28.2,98.8,128.6,256,343,,107.7,11.6,25.4,24.3,19,17.2,5.5,3.5,0.6,0.2,0,0.1,0,0.1,0,0.1
190200,5466,504,-31.8,-31.6,-32.5,99.6,135.6,371,400,,113.1,15.6,24.6,23.9,18.7,15.1,7.6,4.4,0.4,0.5,0.3,0.3,0.1,0.3,0.5,0.8
190400,5966,470.8,-35.4,-34.5,-36.1,100,140,333,515,,357,48,96.7,78.6,57.6,47.5,14.1,10.9,2.3,0.8,0.2,0,0.2,0.2,0.2,0
190600,6420,442.3,-38.9,-40.5,-39.8,89.1,130.5,307,513,,,,,,,,,,,,,,,,,
190800,6834,417.5,-42,-41.7,-43.1,100,149.7,317,559,,,,,,,,,,,,,,,,,
191000,6996,408,-43.2,-42.8,-44.3,100,151.4,295,533,,,,,,,,,,,,,,,,,
191200,7009,407.3,-43.3,-40.6,-44.1,99.9,148.1,313,549,,,,,,,,,,,,,,,,,
191400,7008,407.4,-43.2,-42.5,-44.2,98.4,148.2,315,553,,,,,,,,,,,,,,,,,
191600,7014,407,-43.1,-43.1,-44.3,94.1,141.8,275,486,,,,,,,,,,,,,,,,,
191800,7012,407.1,-43,-44.1,-44.4,90,136.3,320,560,,,,,,,,,,,,,,,,,
192000,7013,407.1,-43.2,-43,-44.4,98.4,148.9,308,550,,,,,,,,,,,,,,,,,
192200,7019,406.7,-43.3,-43.8,-44.4,97.9,149.2,322,584,,,,,,,,,,,,,,,,,
192400,7020,406.7,-43.3,-44,-44.6,98.5,150.5,326,578,,,,,,,,,,,,,,,,,
192600,6988,408.5,-43.1,-43.7,-44.5,98.8,150.6,395,697,,,,,,,,,,,,,,,,,
192800,6997,408,-43.3,-44,-44.7,91.5,138.8,411,742,,,,,,,,,,,,,,,,,
193000,6997,408,-43.3,-43.6,-44.9,95,144.2,347,640,,,,,,,,,,,,,,,,,
193200,6994,408.2,-43.3,-44.7,-45,91.5,139.7,390,720,,,,,,,,,,,,,,,,,
193400,6990,408.4,-43.3,-43.9,-45,98.7,150.7,308,556,,,,,,,,,,,,,,,,,
193600,6991,408.3,-43.4,-43.5,-45,94.5,143.2,1,0,,,,,,,,,,,,,,,,,
193800,6992,408.3,-43.5,-44.1,-45.1,96.1,146.6,0,0,,,,,,,,,,,,,,,,,
194000,6996,408.1,-43.5,-43.8,-45.2,100,152.7,270,570,,,,,,,,,,,,,,,,,
194200,6995,408.1,-43.3,-43.4,-45.1,100,152.1,370,706,,,,,,,,,,,,,,,,,
194400,6999,407.9,-43.2,-45,-45.1,84.3,128,358,688,,,,,,,,,,,,,,,,,
194600,7001,407.7,-43.2,-44,-45,97.6,149.1,361,693,,,,,,,,,,,,,,,,,
194800,7000,407.8,-43.2,-44.1,-45,97,148.2,371,712,,,,,,,,,,,,,,,,,
195000,7001,407.7,-43.1,-44.5,-45.2,92,140.3,364,696,,,,,,,,,,,,,,,,,
195200,7007,407.4,-43.1,-44.7,-45.1,89.9,137.2,347,661,,,,,,,,,,,,,,,,,
195400,7002,407.7,-43,-44.9,-45.1,86.8,132.2,309,594,,,,,,,,,,,,,,,,,
195600,7007,407.4,-42.9,-45.3,-45.1,82.3,125.4,293,563,,,,,,,,,,,,,,,,,
195800,7007,407.4,-42.9,-45,-45.1,85.7,130.5,248,472,,,,,,,,,,,,,,,,,
200000,7006,407.5,-42.8,-46.2,-45.3,73.3,111.5,251,482,,,,,,,,,,,,,,,,,
200200,7002,407.7,-42.8,-45.6,-45.6,79,120.1,266,492,,,,,,,,,,,,,,,,,
200400,6992,408.3,-42.6,-46.7,-46.4,68.9,104.7,277,528,,,,,,,,,,,,,,,,,
200600,6997,408,-42.5,-46.1,-46.3,72.8,110.6,335,656,,,,,,,,,,,,,,,,,
200800,7000,407.8,-42.4,-44.4,-45.5,87.5,132.8,362,678,,,,,,,,,,,,,,,,,
201000,6998,407.9,-42.3,-42.4,-44.7,96.6,145.1,368,673,,,,,,,,,,,,,,,,,
201200,6993,408.2,-42.4,-43.3,-45.2,94.6,143,187,338,,,,,,,,,,,,,,,,,
201400,7006,407.5,-42.6,-45,-46.1,82.9,126,267,546,,,,,,,,,,,,,,,,,
201600,6997,408,-42.8,-46.7,-46.7,70.2,106.9,297,551,,,,,,,,,,,,,,,,,
201800,6986,408.6,-42.6,-46.9,-46.8,67.6,102.8,276,508,,,,,,,,,,,,,,,,,
202000,6937,411.4,-42.3,-46.1,-46.3,71.6,108.5,344,637,,,,,,,,,,,,,,,,,
202200,6538,435.1,-39.5,-40.9,-42.7,90.2,132.8,377,640,,,,,,,,,,,,,,,,,
202400,5998,468.8,-35.7,-37.9,-39.3,84.9,120.9,387,607,,,,,,,,,,,,,,,,,
202600,5506,501.7,-32,-37.9,-37.3,60.7,83.6,357,509,,,,,,,,,,,,,,,,,
202800,5040,534.7,-28.7,-37.4,-34.9,48.1,64.1,395,534,,,,,,,,,,,,,,,,,
203000,4536,571.8,-25.6,-31,-30.4,63.4,81.8,436,559,,,,,,,,,,,,,,,,,
203200,4096,605.8,-22.7,-29.1,-27.9,58.7,73.7,504,615,,,,,,,,,,,,,,,,,
203400,3719,636.2,-20.4,-33.3,-28.1,31.8,39,712,865,,,,,,,,,,,,,,,,,
203600,3269,674.1,-17.7,-29.8,-25.3,35.4,42.2,1005,1159,,,,,,,,,,,,,,,,,
203800,2843,711.7,-15.6,-25.4,-22.2,44.5,52,841,924,,,,,,,,,,,,,,,,,
204000,2399,752.6,-14.3,-18,-17.6,75.9,87.6,687,700,,,,,,,,,,,,,,,,,
204200,1980,793,-11.5,-16.7,-15.8,68.6,77.2,553,518,,,,,,,,,,,,,,,,,
204400,1538,837.5,-8.1,-15.2,-13.8,58.3,63.3,1168,972,,,,,,,,,,,,,,,,,
204600,1118,881.5,-5.6,-11.5,-10.5,65.5,69.5,2271,2150,,10,5.1,1.8,1.6,0.8,0.5,0.1,0,0,0,0,0,0,0,0,0
204800,990,895.3,-5.2,-10.3,-9.4,69.4,73.3,2039,1938,,9.3,2.7,2.4,2,1.1,0.9,0.1,0.1,0,0,0,0,0,0,0,0
205000,990,895.3,-5.1,-10,-9.4,70.7,74.7,1532,1494,,11.4,2.9,3.2,2.1,1.6,1.2,0.2,0.1,0,0,0,0,0,0,0,0
205200,993,894.9,-5.1,-10.2,-9.7,69.3,73.2,1895,1851,,8.9,1.6,2.7,2.2,1.2,0.8,0.2,0.1,0,0,0,0,0,0,0,0
205400,995,894.7,-5.1,-10.3,-9.9,69,72.8,2532,2475,,5.9,1.5,1.7,1.3,0.7,0.6,0,0,0,0,0,0,0,0,0,0
205600,991,895.2,-5.3,-9.7,-9.5,73.4,77.6,2470,2396,,6.6,1.3,2,1.5,0.9,0.6,0.1,0.1,0,0,0,0,0,0,0,0
205800,916,903.4,-4.9,-9.3,-9.2,73.3,77.2,2064,2064,,7.5,1.6,2.5,1.7,1,0.6,0.1,0.1,0,0,0,0,0,0,0,0
210000,485,951.6,-7,-7.6,-7.6,94.5,101.2,709,746,,92.6,7,8.8,5.8,3.3,3.5,2.3,6,2.1,4.8,6,6.5,3.7,8.5,13.4,10.9
210200,353,966.6,-9.4,-8.9,-9.1,100,109.1,181,191,,134.8,4.6,4.8,2.9,1.9,3.5,3.5,10,3.4,9.2,10.1,11.6,6.3,17.8,25.2,20
210400,353,966.6,-9.6,-9.6,-9.5,99.8,109.5,163,167,,113.7,3.4,2.9,2.1,1.7,3.3,2.9,9.1,2.9,7.4,9.4,9.7,5.5,14.4,21.9,17.1
210600,351,966.8,-10.1,-9.8,-10,100,110.1,118,120,,102,2.8,2.7,1.8,1.3,2.7,2.4,7.9,2.6,6.6,8.1,9.7,4.9,13.2,19.4,16
210800,406,960.5,-10.1,-9.9,-10.1,100,110.2,77,90,,72,2,1.6,1.2,0.9,1.7,1.9,5.8,1.8,4.5,5.4,6.4,3.7,9.6,14.1,11.4
211000,578,940.9,-8.3,-8.8,-8.5,99.9,108.9,108,122,,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211200,371,964.6,-10.1,-10.1,-10.2,100,110.3,411,732,,89,3.1,3.2,2.1,1.5,2.5,2.2,6.7,2.3,5.5,6.9,8.5,4.3,11.1,16.4,12.6
211400,414,959.6,-10,-10,-10.1,99.9,110.1,115,128,,68.2,1.4,1.2,0.9,0.9,2,1.8,5.1,1.9,4.2,5.9,6.3,3.6,9.5,13.7,9.8
211600,379,963.6,-9.5,-9.7,-9.5,99.4,109.2,146,160,,72.4,1.6,1.4,1.1,1.1,1.7,1.9,5.8,2.1,4.8,5.9,6.8,3.7,9.8,13.7,10.9
211800,374,964.2,-8.6,-8.9,-8.8,99.5,108.5,175,200,,110.8,2,1.3,1.2,1.4,3,2.9,9.6,3.1,7.7,9.6,10.6,6,14.9,21.4,16
212000,990,895.6,-5.1,-10.3,-9.9,71,75.1,1335,1502,,13.7,2.7,4,3.3,2,1.3,0.2,0.1,0,0,0,0,0,0,0,0
212200,1784,812.6,-8.8,-16.2,-16.9,59.5,65.3,897,819,,28.1,3.6,6.7,6.5,4.8,4.7,0.8,0.8,0,0,0,0,0,0,0,0
212400,2758,719.7,-13.9,-21.4,-23.1,58,67.3,441,521,,81.4,10.2,18.4,18.3,15.1,12.9,3,3.2,0.1,0.1,0,0,0,0,0,0
212600,3748,634.1,-20,-24.7,-27.1,71.3,87.5,360,462,,161,21.4,38.6,34.1,25.3,25.2,7.5,7.3,0.7,0.2,0.1,0.1,0,0.1,0.1,0.1
212800,4598,567.3,-25.6,-29.5,-32.4,75.9,98.4,428,608,,434.1,48.1,77.8,80.7,74.3,85.6,32.1,29.9,3.9,1,0.4,0.2,0.1,0.1,0.1,0
213000,5336,514,-30.9,-32.8,-36.3,92.5,126.4,460,709,,,,,,,,,,,,,,,,,
213200,5961,472.1,-35.5,-36.1,-40.7,98.8,140.3,410,675,,,,,,,,,,,,,,,,,
213400,6513,437.5,-39.2,-41.4,-44.9,87.2,128.5,390,698,,,,,,,,,,,,,,,,,
213600,6919,413.3,-42,-43.3,-47.4,97.6,148.1,361,695,,,,,,,,,,,,,,,,,
213800,7013,407.9,-42.3,-44.7,-48.3,89.9,137.1,371,708,,,,,,,,,,,,,,,,,
