  TRAJ MGRID  YEAR MONTH  DATE  HOUR   MIN FOREH     AGE      LAT     LONG ALTITUDE PRESSURE    THETA AIR_TEMP RAINFALL MIXDEPTH RELHUMID TERR_MSL SUN_FLUX
     1     1    15     4    11    19     0     1     0.0   81.618 -102.509   2996.5    670.0    273.2    243.6      0.0    244.3     36.9      0.0    232.3
     2     1    15     4    11    19     0     1     0.0   81.618 -102.509   2996.5    670.4    273.9    244.3      0.0    203.5     42.3      0.0    225.6
     3     1    15     4    11    19     0     1     0.0   81.618 -102.509   2982.7    669.0    272.6    243.0      0.0    257.0     37.6     13.8    242.3
     4     1    15     4    11    19     0     1     0.0   81.618 -102.509   2996.5    670.1    273.2    243.6      0.0    244.4     36.9      0.0    232.3
     5     1    15     4    11    19     0     1     0.0   81.618 -102.509   2996.5    670.4    273.9    244.3      0.0    203.5     42.4      0.0    225.6
     6     1    15     4    11    19     0     1     0.0   81.618 -102.509   2982.7    669.0    272.6    243.0      0.0    257.0     37.6     13.8    242.3
     7     1    15     4    11    19     0     1     0.0   81.618 -102.509   2996.5    670.0    273.2    243.6      0.0    236.4     36.9      0.0    232.3
     8     1    15     4    11    19     0     1     0.0   81.618 -102.509   2996.5    670.4    273.9    244.3      0.0    203.5     42.2      0.0    224.3
     9     1    15     4    11    19     0     1     0.0   81.618 -102.509   2982.9    669.0    272.6    243.0      0.0    254.5     37.4     13.6    238.2
    10     1    15     4    11    19     0     1     0.0   81.618 -102.509   2996.5    693.9    271.7    244.7      0.0    244.3     35.2      0.0    232.3
    11     1    15     4    11    19     0     1     0.0   81.618 -102.509   2996.5    694.2    272.4    245.4      0.0    203.5     39.0      0.0    225.6
    12     1    15     4    11    19     0     1     0.0   81.618 -102.509   2982.7    692.8    271.1    244.1      0.0    257.0     36.3     13.8    242.3
    13     1    15     4    11    19     0     1     0.0   81.618 -102.509   2996.5    694.0    271.7    244.7      0.0    244.4     35.2      0.0    232.3
    14     1    15     4    11    19     0     1     0.0   81.618 -102.509   2996.5    694.2    272.4    245.4      0.0    203.5     39.0      0.0    225.6
    15     1    15     4    11    19     0     1     0.0   81.618 -102.509   2982.7    692.9    271.1    244.1      0.0    257.0     36.3     13.8    242.3
    16     1    15     4    11    19     0     1     0.0   81.618 -102.509   2996.5    693.9    271.7    244.7      0.0    236.4     35.2      0.0    232.3
    17     1    15     4    11    19     0     1     0.0   81.618 -102.509   2996.5    694.2    272.4    245.4      0.0    203.5     39.0      0.0    224.3
    18     1    15     4    11    19     0     1     0.0   81.618 -102.509   2982.9    692.8    271.1    244.1      0.0    254.5     36.3     13.6    238.2
    19     1    15     4    11    19     0     1     0.0   81.618 -102.509   2996.5    646.9    274.7    242.5      0.0    244.3     36.5      0.0    232.3
    20     1    15     4    11    19     0     1     0.0   81.618 -102.509   2996.5    647.3    275.4    243.2      0.0    203.5     44.2      0.0    225.6
    21     1    15     4    11    19     0     1     0.0   81.618 -102.509   2982.7    645.8    274.0    241.8      0.0    257.0     34.8     13.8    242.3
    22     1    15     4    11    19     0     1     0.0   81.618 -102.509   2996.5    646.9    274.6    242.5      0.0    244.4     36.7      0.0    232.3
    23     1    15     4    11    19     0     1     0.0   81.618 -102.509   2996.5    647.3    275.3    243.1      0.0    203.5     44.5      0.0    225.6
    24     1    15     4    11    19     0     1     0.0   81.618 -102.509   2982.7    645.9    274.0    241.8      0.0    257.0     34.8     13.8    242.3
    25     1    15     4    11    19     0     1     0.0   81.618 -102.509   2996.5    646.9    274.7    242.5      0.0    236.4     36.5      0.0    232.3
    26     1    15     4    11    19     0     1     0.0   81.618 -102.509   2996.5    647.3    275.4    243.2      0.0    203.5     44.1      0.0    224.3
    27     1    15     4    11    19     0     1     0.0   81.618 -102.509   2982.9    645.8    274.1    241.9      0.0    254.5     34.5     13.6    238.2
     1     1    15     4    11    18     0     0    -1.0   81.845 -100.168   2995.8    669.3    273.3    243.7      0.0    256.0     35.0      5.6    209.6
