Bin_x,lower_bound,upper_bound,bin_avg
1,60,61.73,60.865
2,61.73,63.51,62.62
3,63.51,65.34,64.425
4,65.34,67.22,66.28
5,67.22,69.16,68.19
6,69.16,71.15,70.155
7,71.15,73.21,72.18
8,73.21,75.32,74.265
9,75.32,77.49,76.405
10,77.49,79.72,78.605
11,79.72,82.02,80.87
12,82.02,84.38,83.2
13,84.38,86.82,85.6
14,86.82,89.32,88.07
15,89.32,91.89,90.605
16,91.89,94.54,93.215
17,94.54,97.27,95.905
18,97.27,100.07,98.67
19,100.07,102.96,101.515
20,102.96,105.92,104.44
21,105.92,108.98,107.45
22,108.98,112.12,110.55
23,112.12,115.35,113.735
24,115.35,118.67,117.01
25,118.67,122.1,120.385
26,122.1,125.61,123.855
27,125.61,129.24,127.425
28,129.24,132.96,131.1
29,132.96,136.79,134.875
30,136.79,140.74,138.765
31,140.74,144.79,142.765
32,144.79,148.97,146.88
33,148.97,153.26,151.115
34,153.26,157.68,155.47
35,157.68,162.23,159.955
36,162.23,166.9,164.565
37,166.9,171.71,169.305
38,171.71,176.66,174.185
39,176.66,181.75,179.205
40,181.75,186.99,184.37
41,186.99,192.38,189.685
42,192.38,197.93,195.155
43,197.93,203.64,200.785
44,203.64,209.51,206.575
45,209.51,215.54,212.525
46,215.54,221.76,218.65
47,221.76,228.15,224.955
48,228.15,234.73,231.44
49,234.73,241.49,238.11
50,241.49,248.45,244.97
51,248.45,255.62,252.035
52,255.62,262.98,259.3
53,262.98,270.57,266.775
54,270.57,278.36,274.465
55,278.36,286.39,282.375
56,286.39,294.64,290.515
57,294.64,303.14,298.89
58,303.14,311.88,307.51
59,311.88,320.87,316.375
60,320.87,330.12,325.495
61,330.12,339.63,334.875
62,339.63,349.42,344.525
63,349.42,359.49,354.455
64,359.49,369.86,364.675
65,369.86,380.52,375.19
66,380.52,391.49,386.005
67,391.49,402.77,397.13
68,402.77,414.38,408.575
69,414.38,426.33,420.355
70,426.33,438.62,432.475
71,438.62,451.26,444.94
72,451.26,464.27,457.765
73,464.27,477.65,470.96
74,477.65,491.42,484.535
75,491.42,505.59,498.505
76,505.59,520.16,512.875
77,520.16,535.15,527.655
78,535.15,550.58,542.865
79,550.58,566.45,558.515
80,566.45,582.78,574.615
81,582.78,599.58,591.18
82,599.58,616.86,608.22
83,616.86,634.64,625.75
84,634.64,652.94,643.79
85,652.94,671.76,662.35
86,671.76,691.12,681.44
87,691.12,711.05,701.085
88,711.05,731.54,721.295
89,731.54,752.63,742.085
90,752.63,774.32,763.475
91,774.32,796.64,785.48
92,796.64,819.61,808.125
93,819.61,843.23,831.42
94,843.23,867.54,855.385
95,867.54,892.55,880.045
96,892.55,918.28,905.415
97,918.28,944.75,931.515
98,944.75,971.98,958.365
99,971.98,1000,985.99
