bin_x,lower_bound,upper_bound,bin_avg
1,250,280,265
2,280,300,290
3,300,350,325
4,350,400,375
5,400,450,425
6,450,500,475
7,500,580,540
8,580,650,615
9,650,700,675
10,700,800,750
11,800,1000,900
12,1000,1300,1150
13,1300,1600,1450
14,1600,2000,1800
15,2000,2500,2250
16,2500,3000,2750
17,3000,3500,3250
18,3500,4000,3750
19,4000,5000,4500
20,5000,6500,5750
21,6500,7500,7000
22,7500,8500,8000
23,8500,10000,9250
24,10000,12500,11250
25,12500,15000,13750
26,15000,17500,16250
27,17500,20000,18750
28,20000,25000,22500
29,25000,30000,27500
30,30000,32000,31000
31,32000,40000,36000
